Date,Foreign_net,Trust_net,Dealer_net
2016-03-25,1450600.0,-371000.0,449000.0
2016-03-28,7823808.0,-615000.0,-690000.0
2016-03-29,5577375.0,-567000.0,-1489000.0
2016-03-30,14812418.0,215000.0,211000.0
2016-03-31,7986908.0,627000.0,596000.0
2016-04-01,-5720556.0,23000.0,1494615.0
2016-04-06,-15350903.0,-177000.0,3732385.0
2016-04-07,-4196243.0,-186000.0,-2289000.0
2016-04-08,-473796.0,-313000.0,-2464000.0
2016-04-11,-4344920.0,-258000.0,-279000.0
2016-04-12,-2180730.0,158000.0,-122000.0
2016-04-13,22644728.0,-467000.0,-874000.0
2016-04-14,7137356.0,-141000.0,1876000.0
2016-04-15,-3565837.0,-1062260.0,126000.0
2016-04-18,-5190492.0,-307740.0,274000.0
2016-04-19,-4567150.0,-157000.0,27000.0
2016-04-20,-10635581.0,-624000.0,421999.0
2016-04-21,11166864.0,-173000.0,-1184000.0
2016-04-22,7472655.0,-86000.0,-2240749.0
2016-04-25,2191060.0,-257000.0,59000.0
2016-04-26,1289182.0,15000.0,363000.0
2016-04-27,-6659070.0,214000.0,2868000.0
2016-04-28,-16297624.0,-273000.0,1452000.0
2016-04-29,-28496849.0,-1187000.0,2040000.0
2016-05-03,-47307028.0,-373000.0,2474000.0
2016-05-04,-26841791.0,-155000.0,1010000.0
2016-05-05,-13866417.0,74000.0,1451000.0
2016-05-06,-6136259.0,-8000.0,123000.0
2016-05-09,-10302993.0,145000.0,-905000.0
2016-05-10,-8876815.0,124107.0,444000.0
2016-05-11,-16584617.0,421938.0,-156000.0
2016-05-12,-7227830.0,-146000.0,-712000.0
2016-05-13,-33496407.0,320000.0,934000.0
2016-05-16,-9747619.0,549000.0,-77000.0
2016-05-17,-7860348.0,560000.0,-13000.0
2016-05-18,-5936544.0,73000.0,440000.0
2016-05-19,-6979647.0,277000.0,-1132000.0
2016-05-20,6171749.0,283000.0,-3769000.0
2016-05-23,13388481.0,2855000.0,48000.0
2016-05-24,-5507268.0,-272000.0,781000.0
2016-05-25,12362897.0,610000.0,-1023000.0
2016-05-26,4087200.0,125000.0,-313000.0
2016-05-27,5755565.0,331000.0,-243000.0
2016-05-30,18644659.0,-87000.0,353000.0
2016-05-31,8534596.0,-54985.0,-27000.0
2016-06-01,13012028.0,-45000.0,-620000.0
2016-06-02,6856672.0,-40000.0,-447000.0
2016-06-03,16979179.0,-171000.0,-289000.0
2016-06-04,752300.0,-708000.0,646000.0
2016-06-06,11301671.0,-105000.0,72000.0
2016-06-07,17829656.0,18466.0,536000.0
2016-06-08,19134405.0,-117000.0,-54000.0
2016-06-13,-8880858.0,-426000.0,1842000.0
2016-06-14,3633162.0,-453000.0,1950000.0
2016-06-15,5152111.0,14000.0,1996000.0
2016-06-16,-10653343.0,-258000.0,1960000.0
2016-06-17,7675581.0,-308552.0,-306250.0
2016-06-20,-365788.0,75000.0,2249240.0
2016-06-21,11665024.0,-9000.0,555000.0
2016-06-22,4326423.0,-5000.0,2583000.0
2016-06-23,1827210.0,-15000.0,2898000.0
2016-06-24,-39335522.0,-680000.0,9460000.0
2016-06-27,6303865.0,475000.0,-5051000.0
2016-06-28,13679449.0,222000.0,-1615000.0
2016-06-29,14988675.0,50000.0,-1454000.0
2016-06-30,25194860.0,-26000.0,-2767000.0
2016-07-01,23285763.0,-129000.0,-1686000.0
2016-07-04,12378788.0,-183000.0,-985000.0
2016-07-05,2103571.0,-885000.0,231000.0
2016-07-06,-11343579.0,-689000.0,1252000.0
2016-07-07,5786792.0,-169000.0,-1663000.0
2016-07-11,26151078.0,-319000.0,-5609000.0
2016-07-12,16099444.0,23000.0,-627000.0
2016-07-13,-13077151.0,-719000.0,1429000.0
2016-07-14,8311867.0,-413000.0,-2820000.0
2016-07-15,2857037.0,-1087478.0,587000.0
2016-07-18,6120983.0,-598000.0,394000.0
2016-07-19,9919986.0,-795026.0,-87000.0
2016-07-20,13025976.0,28222.0,-880000.0
2016-07-21,11740078.0,-614275.0,137000.0
2016-07-22,5743050.0,-176000.0,-1407000.0
2016-07-25,4472573.0,873000.0,-124000.0
2016-07-26,9523249.0,-66000.0,-19000.0
2016-07-27,17819000.0,-79000.0,-451000.0
2016-07-28,10860240.0,240039.0,-1166000.0
2016-07-29,-2710528.0,-258458.0,1368000.0
2016-08-01,14288330.0,222000.0,-3047995.0
2016-08-02,753143.0,-609000.0,456995.0
2016-08-03,-10019865.0,-162000.0,1717000.0
2016-08-04,1914196.0,-132686.0,-763000.0
2016-08-05,13041881.0,-361000.0,-2658002.0
2016-08-08,2520774.0,58000.0,-510000.0
2016-08-09,5246112.0,92000.0,-1136433.0
2016-08-10,2334690.0,-169000.0,108000.0
2016-08-11,-8460408.0,-370000.0,760435.0
2016-08-12,6078189.0,-244000.0,-1019000.0
2016-08-15,4621372.0,-113000.0,-330000.0
2016-08-16,-9571879.0,-297000.0,2026000.0
2016-08-17,6920611.0,-554000.0,-2411000.0
2016-08-18,2517466.0,-385000.0,738000.0
2016-08-19,-901952.0,-974000.0,-642000.0
2016-08-22,-6360414.0,-115000.0,959000.0
2016-08-23,3254321.0,-419000.0,-702000.0
2016-08-24,172819.0,-148000.0,-303000.0
2016-08-25,9355589.0,-145000.0,-285000.0
2016-08-26,447188.0,-429000.0,908000.0
2016-08-29,-2192574.0,-83000.0,97000.0
2016-08-30,-7382647.0,-243000.0,1581000.0
2016-08-31,8465803.0,-45317.0,-2932000.0
2016-09-01,-8575300.0,468902.0,704000.0
2016-09-02,2209090.0,-62000.0,-598000.0
2016-09-05,7978000.0,150000.0,114000.0
2016-09-06,6983328.0,27000.0,-717000.0
2016-09-07,7275594.0,201000.0,57578.0
2016-09-08,995421.0,-121000.0,521000.0
2016-09-09,-10503059.0,-57000.0,1943422.0
